episode,timestep,episode_reward,episode_length,termination_reason
174,37,5504,-0.42475712671875954,0.4938343968242407,63.861490885416664,0.2,-0.052000000000000005,-1.5385265894808082
174,5521,17.627761418443473,49.0,collision
175,5555,29.06082241581774,34.0,collision
176,5578,22.36368995114276,23.0,collision
177,5596,101.2880857376584,18.0,collision
178,5613,6.060859601150215,17.0,collision
179,38,5632,-0.39354576046268147,0.48688033161063987,63.97684955596924,0.2,-0.051000000000000004,-0.8511488464324862
179,5675,-6.602358272296312,62.0,collision
180,5696,3.4301928656082996,21.0,collision
181,5716,1.06679724297756,20.0,collision
182,5752,56.9262252887915,36.0,collision
183,39,5760,-0.35737453649441403,0.45219181415935356,64.09220759073894,0.2,-0.053000000000000005,6.361162977137673
183,5799,57.8814101258789,47.0,collision
184,5826,24.798520111458263,27.0,collision
185,5849,23.741169769708016,23.0,collision
186,40,5888,-0.32194581379493076,0.47767124076684314,64.20756435394287,0.2,0.032051135133633515,56.995176021373666
186,5919,69.35895244470329,70.0,collision
187,5939,6.970716809417553,20.0,collision
188,5978,32.96559462850862,39.0,collision
189,5998,5.2740709111909165,20.0,collision
190,41,6016,-0.3600764162838459,0.46287924858431023,64.32292048136394,0.2,1.9266245551083134,46.58528500709918
190,6020,49.085783636925726,22.0,collision
191,6073,45.40551225913526,53.0,collision
192,6114,50.692932138723556,41.0,collision
193,6128,7.047510912737881,14.0,collision
194,42,6144,-0.3014826128880183,0.4328259453177452,64.43827565511067,0.2,-5.0,38.590095733500036
194,6144,38.590095733500036,16.0,collision
195,6162,3.254263964747265,18.0,collision
196,6183,21.69385394269006,21.0,collision
197,6271,13.94826986624658,88.0,collision
198,43,6272,-0.3215673801799615,0.4522991143167019,64.55363051096599,0.2,-0.051000000000000004,-0.051000000000000004
198,6324,8.437330535054551,53.0,collision
199,6343,8.660051178067354,19.0,collision
200,6382,51.65465184569932,39.0,collision
201,44,6400,-0.465521218876044,0.5008869776502252,64.66898663838704,0.2,-0.05700000000000001,44.45100730211461
201,6423,65.86398144895918,41.0,collision
202,6457,16.160227797071755,34.0,collision
203,45,6528,-0.36255287130673725,0.49331040121614933,64.78434340159099,0.2,-0.051000000000000004,52.06576313150671
203,6531,47.1435349410324,74.0,collision
204,6599,20.241314661729415,68.0,collision
205,6615,7.5762635237868885,16.0,collision
206,6641,5.826105931583589,26.0,collision
